City,Total Population,Median Income,Tax Rate %,Total Households,Average Household Size,Households With Children Under 18,Married Households,Co-habiting Couple Households,Female only Households,Male Only Households,Labor Force,Employed,Unemployed,Unemployed Rate (%),Grade < 9,Grade 9-12,Highschool Diploma,Some College,Associate Degree,Undergraduate Degree,Graduate Degree,Grade < 9 (%),Grade 9-12 (%),Highschool Diploma (%),Some College (%),Associate Degree (%),Undergraduate Degree (%),Graduate Degree (%),0-15 (%),15-17 (%),18-24 (%),25-34 (%),35-54 (%),55-64 (%),65+ (%),0 to 15,15 to 17,18 to 24,25 to 34,35 to 54,55 to 64,65 plus
Arcadia,56681,108214,10.25,19412,2.85,5811,10923,988,4908,2593,29200,27800,1400,4.8,1718,1303,5992,5056,3487,14789,8420,4.2,3.2,14.7,12.4,8.6,36.3,20.7,17.52,3.47,7.1,10.75,27.59,13.95,19.62,9842,1947,3988,6040,15501,7840,11023
South Whittier,56415,94149,9.5,15234,3.73,5279,8582,753,3417,2482,29400,28100,1300,4.5,3457,3007,12163,9515,2755,4295,1865,9.3,8.1,32.8,25.7,7.4,11.6,5,20.34,3.93,11.33,15.69,26.65,11.18,10.88,11669,2258,6502,9002,15291,6417,6244
Diamond Bar,55072,106881,9.5,17820,3.05,5193,11363,570,3975,1912,30100,28700,1500,4.8,1483,1129,5885,7023,3180,14401,7539,3.6,2.8,14.5,17.3,7.8,35.4,18.6,15.76,3.7,7.09,12.54,26.19,16.17,18.55,8597,2017,3865,6839,14285,8817,10114
Huntington Park,54883,54073,10.25,14712,3.7,5859,6286,2039,4041,2346,26300,24800,1500,5.7,10484,6200,8865,5333,1271,2247,490,30,17.8,25.4,15.3,3.6,6.4,1.4,19.59,5.26,12.41,15.12,27.88,9.15,10.6,10686,2870,6767,8249,15205,4990,5780
Hacienda Heights,54191,101420,9.5,16385,3.37,4433,9560,697,3691,2437,27200,25900,1300,4.8,2456,2696,9395,7993,3943,9403,4277,6.1,6.7,23.4,19.9,9.8,23.4,10.6,15.65,3.14,8.21,12.24,27.16,13.39,20.22,8677,1740,4556,6786,15064,7424,11214
Paramount,53733,67197,10.25,14366,3.68,5689,6647,1105,4042,2572,24600,23000,1700,6.8,7074,4257,9061,6026,2163,2723,1242,21.7,13.1,27.8,18.5,6.6,8.4,3.8,22.21,4.59,11.4,16.36,26.79,9.59,9.06,11826,2447,6070,8711,14269,5109,4823
Glendora,52558,106718,10.25,16751,3.04,5362,9684,876,3829,2362,25800,24500,1400,5.3,1129,1620,7129,8318,3861,8785,5114,3.1,4.5,19.8,23.1,10.7,24.4,14.2,18.02,4.35,8.33,12.23,26.62,13.63,16.82,9387,2268,4337,6370,13869,7103,8761
Covina,51268,89650,10.25,16313,3.08,4619,7858,1239,4318,2898,24200,22600,1500,6.3,1874,2287,8233,9268,2540,6030,2435,5.7,7,25.2,28.4,7.8,18.5,7.5,16.94,4.08,9.22,15.51,28.36,12.63,13.28,8589,2069,4675,7864,14382,6404,6734
Rosemead,51185,70073,9.5,14091,3.58,4122,7720,504,3599,2268,25100,23700,1400,5.5,8973,3980,9870,5129,2461,6528,1622,23.3,10.3,25.6,13.3,6.4,16.9,4.2,14.02,4.24,8.72,12.69,27.66,13.88,18.79,7154,2164,4452,6477,14119,7087,9590
Azusa,50000,81516,10.25,14102,3.25,4106,6610,1464,3608,2420,25400,23900,1400,5.7,3463,2307,7423,5879,2350,5060,2990,11.8,7.8,25.2,19.9,8,17.2,10.1,18.09,2.89,15.74,16.22,25.16,10.85,11.05,8989,1434,7824,8064,12508,5394,5491
Cerritos,49578,124460,9.5,15772,3.09,4266,10285,518,3252,1717,25000,23700,1300,5.2,1412,780,5053,6430,3148,12726,6726,3.9,2.2,13.9,17.7,8.7,35.1,18.5,15.26,3.24,7.45,11.2,23.73,13.6,25.52,7480,1588,3654,5490,11630,6666,12508
Rowland Heights,48231,85842,9.5,14822,3.17,3702,8872,572,3290,2088,24300,22900,1500,6,2813,2299,8209,5332,3236,11110,3458,7.7,6.3,22.5,14.6,8.9,30.5,9.5,14.66,3.27,7.25,14.05,25,14.84,20.93,6923,1545,3421,6633,11804,7004,9879
La Mirada,48008,179990,9.5,14814,3.05,3935,8865,417,3472,2060,24100,22700,1400,5.7,1714,1550,7259,7627,2811,7961,3824,5.2,4.7,22.2,23.3,8.6,24.3,11.7,15.52,3.41,12.49,11.05,24,13.79,19.73,7394,1627,5951,5263,11435,6572,9402
Altadena,42846,123869,9.5,14768,2.84,3932,7586,618,4887,1677,22000,20700,1300,6.1,2243,1108,4925,6250,2748,7180,7496,7,3.5,15.4,19.6,8.6,22.5,23.5,17.42,2.97,5.69,11.76,27.91,14.29,19.95,7441,1270,2431,5022,11925,6106,8524
Rancho Palos Verdes,42287,166747,9.5,15351,2.69,4340,10284,447,3330,1290,19500,18500,1000,4.9,244,333,2561,4298,1822,11038,9646,0.8,1.1,8.6,14.4,6.1,36.9,32.2,16.55,4.39,6.74,5.51,24.21,16.39,26.22,6917,1834,2819,2302,10121,6852,10960
Culver City,40779,114429,10.25,17691,2.26,4499,7813,916,5922,3040,23100,21700,1300,5.7,1066,732,2992,5214,1736,9418,8469,3.6,2.5,10.1,17.6,5.9,31.8,28.6,17.09,2.2,4.33,16.68,29.25,13.13,17.31,6896,889,1749,6732,11805,5299,6987
San Gabriel,39568,84056,10.25,12319,3.13,3139,6210,651,3272,2186,21400,20400,1000,4.6,4850,2350,6943,3657,2362,7254,2723,16.1,7.8,23,12.1,7.8,24.1,9,13.55,3.57,6.74,14.2,27.24,15.95,18.75,5315,1398,2642,5568,10682,6254,7352
Bell Gardens,39501,75379,10.25,9523,4.07,4043,4140,1440,2572,1371,18000,16800,1200,6.5,8453,3590,6610,3394,789,1078,397,34.8,14.8,27.2,14,3.2,4.4,1.6,23.26,4.8,10.8,16.31,26.47,9.1,9.25,9134,1886,4240,6405,10394,3571,3633
La Puente,38062,95278,10,9625,3.92,3229,5269,605,2420,1331,19000,17900,1100,5.7,5645,3440,8100,4855,1391,2417,624,21.3,13,30.6,18.3,5.3,9.1,2.4,18.08,4.12,10.41,15.95,26.69,12.19,12.56,6841,1558,3937,6036,10098,4612,4753
Monrovia,37931,93827,10.25,13560,2.76,3730,6069,1063,4055,2373,21900,20800,1100,5.1,1527,1214,5259,5661,2140,6828,3931,5.7,4.6,19.8,21.3,8.1,25.7,14.8,17.97,3.93,7.8,14.27,28.44,14.95,12.64,6767,1478,2936,5375,10711,5628,4761
Claremont,37266,115091,9.5,12603,2.56,3090,7163,446,3818,1176,17000,16000,1000,5.8,578,503,2764,4487,2008,6241,7097,2.4,2.1,11.7,19,8.5,26.4,30,13.13,3.32,16.66,10.27,23.76,12.37,20.49,4844,1225,6146,3789,8766,4562,7559
Temple City,36494,95263,9.5,11722,3.04,3877,6619,467,2927,1709,18200,17300,900,5.1,1978,1322,5372,4107,2068,7177,3314,7.8,5.2,21.2,16.2,8.2,28.3,13.1,17.62,3.66,7.19,11.04,28.7,13.14,18.65,6372,1325,2599,3993,10381,4752,6743
West Hollywood,35757,89034,10.25,22836,1.54,889,3451,2426,6792,10167,26500,24800,1700,6.5,445,655,3828,5435,2595,13053,6454,1.4,2,11.8,16.7,8,40.2,19.9,3.66,0.27,5.62,28.73,31.75,14.85,15.13,1294,94,1986,10158,11226,5252,5348
Manhattan Beach,35506,187217,9.5,13400,2.62,4627,8090,681,2447,2182,19400,18500,800,4.3,68,346,1386,2945,912,10285,8425,0.3,1.4,5.7,12.1,3.7,42.2,34.6,21.14,5.65,4.29,8.06,29.71,14.55,16.61,7425,1983,1507,2830,10435,5110,5833
San Dimas,34924,102241,9.5,12026,2.81,3137,6628,770,3048,1580,17800,16900,900,5.1,509,997,4604,6167,2791,5646,3622,2.1,4.1,18.9,25.3,11.5,23.2,14.9,16.8,3.4,7.38,12.8,26.11,15.37,18.14,5789,1171,2544,4413,8999,5297,6253
Westmont,33913,88064,9.5,10551,3.33,3811,3016,1003,4843,1689,15400,13900,1500,9.8,3519,3154,6282,4805,1194,1564,576,16.7,15,29.8,22.8,5.7,7.4,2.7,17.76,3.94,7.6,18.01,24.94,12.42,15.35,4518,1002,1933,4581,6344,3159,3905
Bell,33559,56685,9.5,8869,3.66,3525,4040,1005,2387,1437,15100,14100,1000,6.4,6205,3556,6220,3160,983,1645,176,28.3,16.2,28.3,14.4,4.5,7.5,0.8,20.8,5.03,12.03,14.48,26.87,10.52,10.27,6942,1679,4014,4832,8970,3512,3428
Beverly Hills,32701,116771,9.5,14338,2.26,2971,6374,628,4934,2402,18000,17100,900,5.1,410,544,2980,3647,1437,8770,7218,1.6,2.2,11.9,14.6,5.7,35.1,28.9,12.48,5.02,5.83,12.06,26.72,13.69,24.21,4043,1626,1888,3907,8658,4438,7846
Lawndale,31807,76213,10.25,9684,3.24,3060,4696,895,1872,2221,16500,15600,900,5.3,3270,2713,5555,4747,1257,3287,1230,14.8,12.3,25.2,21.5,5.7,14.9,5.6,18.2,4.99,9.6,16.46,28.91,11.88,9.96,5742,1575,3028,5195,9123,3748,3142
La Verne,31334,58512,10.25,11590,2.64,2874,6180,594,3120,1696,16300,15400,900,5.3,695,825,4312,5696,2436,5506,3453,3,3.6,18.8,24.8,10.6,24,15.1,15.27,3.79,9.07,10.16,23.87,15.26,22.58,4771,1184,2833,3173,7458,4767,7053
Walnut,28430,130444,9.5,8616,3.27,2238,6032,167,1575,842,16000,15200,800,4.8,1113,541,2918,3522,1857,8474,3633,5,2.5,13.2,16,8.4,38.4,16.5,15.62,3.21,7.4,11,23.39,16.3,23.08,4408,905,2088,3102,6600,4599,6510
South Pasadena,26943,127882,10.25,10274,2.57,3329,5346,719,2611,1598,14900,14100,900,5.9,254,265,1134,2372,1374,6402,6532,1.4,1.4,6.2,12.9,7.5,34.9,35.6,19.64,3.45,4.85,12.12,34.5,10.98,14.48,5220,916,1288,3222,9170,2918,3849
West Whittier-Los Nietos,25325,84365,9.5,6779,3.73,2103,3948,405,1533,893,12300,11800,500,4.3,2540,2111,5721,3582,1472,2040,757,13.9,11.6,31.4,19.7,8.1,11.2,4.2,17.84,3.89,9.94,11.43,28.49,10.77,17.65,3937,859,2194,2522,6289,2378,3895
Maywood,25138,57615,9.5,6358,3.91,2720,3117,693,1569,979,12400,11600,800,6.1,6118,2344,4597,1863,556,824,426,36.6,14,27.5,11.1,3.3,4.9,2.5,23.21,4.41,11.87,15.67,26.09,8.5,10.26,5804,1102,2969,3918,6524,2127,2565
Willowbrook,24295,52384,9.5,5918,3.76,2394,2448,407,1849,1214,10200,9400,900,8.5,3866,2304,3689,1975,626,966,226,28.3,16.9,27,14.5,4.6,7.1,1.7,24.36,4.38,11.32,17.27,23.25,10.62,8.8,5478,984,2547,3884,5230,2388,1980
San Fernando,23946,70950,10.25,6329,3.77,1866,3506,387,1413,1023,12000,11400,600,4.6,3113,2724,4565,2913,827,1723,602,18.9,16.5,27.7,17.7,5,10.5,3.7,18.93,3.32,9.73,16.92,26.91,11.36,12.83,4536,795,2332,4053,6446,2722,3074
Calabasas,23241,154079,9.5,8819,2.62,2587,4962,558,2001,1298,11800,10800,1000,8.6,71,224,1457,3084,904,5808,4987,0.4,1.4,8.8,18.7,5.5,35.1,30.2,17.18,3.99,8.31,10.2,26.8,15.61,17.91,3969,923,1920,2356,6193,3606,4139
West Puente Valley,22959,188681,9.5,5090,4.32,1437,3073,200,1233,584,10900,10200,700,6.4,2469,2312,4731,3192,959,1794,499,15.5,14.5,29.7,20,6,11.2,3.1,14.08,4.55,3.88,7.88,25.36,16.37,27.88,1119,362,308,626,2016,1301,2216
West Carson,22870,91495,9.5,7942,2.69,1411,3963,335,2199,1445,11700,11100,600,5.2,1794,1225,4082,3164,1617,4645,1366,10,6.8,22.8,17.7,9,26,7.6,12.72,2.24,6.1,16.72,23.48,14.11,24.63,2830,498,1356,3719,5223,3137,5477
Cudahy,22811,49596,10.25,5772,3.92,2264,2648,703,1554,867,10000,9400,600,6.4,4092,2071,3753,2145,475,803,152,30.3,15.4,27.8,15.9,3.5,6,1.1,22.73,4.91,12.66,15.99,26.31,8.82,8.58,5149,1113,2869,3622,5960,1999,1945
East San Gabriel,22769,100952,9.5,7638,2.95,2021,3983,497,1823,1335,11600,10900,800,6.4,1310,820,3240,2836,1523,4999,2326,7.7,4.8,19,16.6,8.9,29.3,13.6,16.02,3.65,7.89,12.39,27.81,13.54,18.71,3629,826,1787,2806,6299,3068,4239
Valinda,22437,107381,9.5,4665,4.68,1425,2744,291,983,647,11600,11000,600,5.6,2449,1803,4652,2803,1141,1930,505,16,11.8,30.4,18.3,7.5,12.6,3.3,22.33,4.8,9.02,14.7,24.57,15.52,9.05,735,158,297,484,809,511,298
Duarte,21727,93908,10.25,7136,2.98,1593,3592,431,2190,923,11300,10700,600,5.6,1400,1102,3314,3504,1296,3311,1817,8.9,7,21,22.3,8.2,21,11.5,14.13,2.78,7.6,13.33,24.88,15.93,21.35,3065,602,1648,2891,5395,3455,4630
Lomita,20921,87717,10.25,7890,2.59,1878,3707,480,2263,1440,11100,10800,300,2.5,897,1032,3127,2615,1284,3716,1790,6.2,7.1,21.6,18.1,8.9,25.7,12.4,16.03,4.09,7.93,14.89,23.75,15.03,18.28,3313,845,1638,3076,4907,3105,3778
La Cañada Flintridge,20573,210625,9.5,6451,3.15,2675,5063,78,954,356,8900,8600,400,4.2,108,91,898,1684,738,4988,4914,0.8,0.7,6.7,12.5,5.5,37.2,36.6,21.32,6.53,5.49,6.13,27.25,14.36,18.92,4344,1330,1119,1249,5554,2927,3855
Lennox,20323,54611,9.5,5651,3.66,2123,2861,465,1307,1018,11500,10800,700,6.2,3657,3045,3291,1912,616,1037,168,26.6,22.2,24,13.9,4.5,7.6,1.2,20.52,4.12,10.73,16.99,25.3,13.37,8.98,4244,853,2220,3514,5233,2765,1858
Agoura Hills,20299,157930,9.5,7085,2.82,2371,4623,229,1403,830,11400,10800,600,5.1,283,101,1349,2435,1008,5821,3286,2,0.7,9.4,17,7.1,40.8,23,17.67,5.33,7.83,8.07,25.94,18.52,16.64,3550,1070,1573,1621,5210,3721,3343
La Crescenta-Montrose,19997,115734,9.5,7259,2.77,2218,4010,186,2179,884,10100,9400,600,6.3,420,613,1908,2641,1323,4255,2995,3,4.3,13.5,18.7,9.3,30.1,21.2,20.93,3.51,6.01,9.28,28.67,13.64,17.97,4205,705,1207,1864,5761,2740,3610
South San Jose Hills,19855,87961,9.5,4143,4.5,1374,2063,496,911,673,9900,9200,700,7,2677,1650,3610,2331,614,1244,319,21.5,13.3,29,18.7,4.9,10,2.6,18.41,5.28,9.5,17.31,25.23,11.3,12.97,3446,989,1778,3239,4722,2115,2428
