City,Total Population,Median Income,Tax Rate %,Total Households,Average Household Size,Households With Children Under 18,Married Households,Co-habiting Couple Households,Female only Households,Male Only Households,Labor Force,Employed,Unemployed,Unemployed Rate (%),Grade < 9,Grade 9-12,Highschool Diploma,Some College,Associate Degree,Undergraduate Degree,Graduate Degree,Grade < 9 (%),Grade 9-12 (%),Highschool Diploma (%),Some College (%),Associate Degree (%),Undergraduate Degree (%),Graduate Degree (%),0-15 (%),15-17 (%),18-24 (%),25-34 (%),35-54 (%),55-64 (%),65+ (%),0 to 15,15 to 17,18 to 24,25 to 34,35 to 54,55 to 64,65 plus
Charter Oak,9739,79803,9.5,3235,2.86,838,1528,205,1113,389,5300,5000,300,6,423,393,1533,1593,801,1778,441,6.1,5.6,22,22.9,11.5,25.5,6.3,15.9,2.22,9.64,16.27,28.68,13.85,13.44,1484,207,900,1519,2677,1293,1255
West Athens,9393,67552,9.5,2719,3.34,879,874,177,1220,448,4700,4200,500,10.2,934,462,1690,1523,647,686,371,14.8,7.3,26.8,24.1,10.2,10.9,5.9,22.64,5.23,9.35,13.7,19.94,16.1,13.03,2067,478,854,1251,1821,1470,1190
Alondra Park,8569,79974,9.5,2764,2.99,629,1419,119,662,564,4100,3900,200,4,836,774,872,1351,272,1103,426,14.8,13.7,15.5,24,4.8,19.6,7.6,16.56,3.42,9.54,13.19,26.14,14.55,16.6,1377,284,793,1097,2173,1210,1380
Rolling Hills Estates,8280,179917,9.5,2792,2.94,814,1927,23,503,339,3500,3300,200,6.2,28,10,408,862,350,2418,1635,0.5,0.2,7.1,15.1,6.1,42.3,28.6,17,3.79,8.07,7.09,24.25,13.95,25.86,1396,311,663,582,1992,1146,2124
Westlake Village,8029,73375,9.5,3115,2.53,720,1889,162,654,410,3900,3800,100,1.9,47,137,604,795,273,2528,1819,0.8,2.2,9.7,12.8,4.4,40.8,29.3,21.66,3.12,9.53,15.79,24.78,12.37,12.74,4796,690,2111,3497,5487,2739,2821
South San Gabriel,7920,71944,9.5,2256,3.35,650,1356,21,583,296,3700,3600,100,3.7,1027,503,1446,938,579,1394,315,16.6,8.1,23.3,15.1,9.3,22.5,5.1,13.74,5.9,5.24,13.99,21.98,18.51,20.65,1070,459,408,1089,1711,1441,1608
Acton,7431,119091,9.5,2510,2.9,536,1570,168,345,427,3200,3100,100,2.8,118,284,1282,1696,554,1034,323,2.2,5.4,24.2,32.1,10.5,19.5,6.1,16.17,2.77,9.54,8.21,24.13,19.54,19.64,1178,202,695,598,1758,1424,1431
Ladera Heights,6654,113030,9.5,2654,2.52,591,1222,197,912,323,3100,3000,200,5.5,62,212,309,976,524,1371,1218,1.3,4.5,6.6,20.9,11.2,29.3,26.1,16.07,1.67,5.9,18.36,24.58,11.43,22,1078,112,396,1232,1649,767,1476
East Pasadena,6021,100985,9.5,1942,2.8,467,1008,42,521,371,2700,2700,100,2.9,376,311,619,556,399,1245,862,8.6,7.1,14.2,12.7,9.1,28.5,19.7,17.85,1.79,6.32,11.02,30,11.64,21.39,977,98,346,603,1642,637,1171
La Habra Heights,5682,157824,9.5,1927,2.89,385,1212,35,313,367,3000,2900,100,2.4,39,196,406,937,432,1040,861,1,5,10.4,24,11,26.6,22,13.97,2.3,7.63,11.2,28.11,12.98,23.81,782,129,427,627,1574,727,1333
